account_id,company,segment,tier,country,target_contact,target_role,primary_offer,trigger,stage,source_channel,last_touch,next_action,next_action_date,reply_status,discovery_status,proposal_status,utm_campaign,landing_path,notes,source_url
REM-001,Brussels Airport Company,Direct enterprise,Tier 1,Belgium,Pieter Poelman,CIO / Cloud / ICT-OT Security,Secure Cloud Remediation,"Azure/AWS cloud ownership expansion and active cybersecurity investment",Ready to contact,LinkedIn,,Send personalised connection note,2026-09-09,No reply,Not started,Not started,remediation_wave1,/resources/secure-cloud-remediation-checklist/,First activation wave,https://jobs.brusselsairport.be/job/Senior-Product-Manager-Cloud/1145359255/
REM-002,Elia Group,Direct enterprise,Tier 1,Belgium,Kris Hallaert,Group CISO / Security Engineering,Secure Cloud Remediation,"Active security engineering and architecture hiring in critical infrastructure",Ready to contact,LinkedIn,,Send personalised connection note,2026-09-09,No reply,Not started,Not started,remediation_wave1,/resources/secure-cloud-remediation-checklist/,First activation wave,https://jobs.eliagroup.eu/elia/job/Brussels-Security-Engineer-1000/11329-en_GB/
REM-003,KBC Bank & Verzekering,Direct enterprise,Tier 1,Belgium,,IAM / Directory & Authentication leadership,Secure Cloud Remediation,"Active hiring around cyber incident response and Microsoft authentication / Entra ID",Ready to contact,LinkedIn,,Identify best IAM leader and send first touch,2026-09-10,No reply,Not started,Not started,remediation_wave1,/resources/secure-cloud-remediation-checklist/,First activation wave,https://www.kbc.be/jobs/nl/vacatures/ID90133.html
REM-004,AXA Belgium,Direct enterprise,Tier 1,Belgium,Thomas Doutreligne,Security / IAM / Digital Workplace leadership,Secure Cloud Remediation,"M365 Intune Azure AD Zero Trust and IAM hiring",Ready to contact,LinkedIn,,Send personalised connection note,2026-09-10,No reply,Not started,Not started,remediation_wave1,/resources/secure-cloud-remediation-checklist/,First activation wave,https://careers.axa.be/be/jobs/22657
REM-005,Infrabel,Direct enterprise,Tier 1,Belgium,,Cloud / Infrastructure / CISO organisation,Secure Cloud Remediation,"Azure Entra PowerShell hardening least privilege and patching hiring",Ready to contact,LinkedIn,,Identify cloud/security leader and send first touch,2026-09-10,No reply,Not started,Not started,remediation_wave1,/resources/secure-cloud-remediation-checklist/,First activation wave,https://jobs.infrabel.be/default/job/System-Engineer-Microsoft-Server/35598-nl_NL
REM-006,Port of Antwerp-Bruges,Direct enterprise,Tier 1,Belgium,,CISO / Cloud Platform / Infrastructure,Secure Cloud Remediation,"Published Azure preference vulnerability scanning and supplier remediation responsibilities",Research,Research,,Identify Microsoft/security buyer and current trigger,2026-09-11,No reply,Not started,Not started,remediation_wave2,/resources/secure-cloud-remediation-checklist/,,https://digitalspecs.portofantwerpbruges.com/non-functional-requirements/
REM-007,Euroclear,Direct enterprise,Tier 1,Belgium,,Cloud Platform / Security Engineering / Technology Transformation,Secure Cloud Remediation,"Strategic Microsoft Cloud transformation with resilience and secure infrastructure focus",Research,Research,,Identify target buyer and current implementation trigger,2026-09-11,No reply,Not started,Not started,remediation_wave2,/secure-cloud-remediation/,,https://www.euroclear.com/newsandinsights/en/press/2025/mr-02-euroclear-partners-with-microsoft.html
REM-008,UCB,Direct enterprise,Tier 1,Belgium,,Digital Technology / Cloud Platform / Security Engineering,Secure Cloud Remediation,"Regulated Azure and Entra usage in secure AI and enterprise platform context",Research,Research,,Identify cloud/security owner and validate current trigger,2026-09-11,No reply,Not started,Not started,remediation_wave2,/resources/secure-cloud-remediation-checklist/,,https://www.microsoft.com/en/customers/story/25625-ucb-azure
REM-009,BNP Paribas Fortis,Direct enterprise,Tier 2,Belgium,,IAM / IT Production Security leadership,Secure Cloud Remediation,"IAM and privileged access transformation under banking regulation",Research,Research,,Confirm Microsoft-connected scope before outreach,2026-09-14,No reply,Not started,Not started,remediation_wave2,/resources/secure-cloud-remediation-checklist/,Adjacent fit; do not position against CyberArk/SailPoint,https://group.bnpparibas/en/careers/job-offer/business-analyst-iam-it-production-security-hq-brussels
REM-010,Fluxys Belgium,Direct enterprise,Tier 2,Belgium,,CISO / ICT Security / Infrastructure,Secure Cloud Remediation,"NIS2 ISO27001 SIEM EDR resilience exercises and ongoing digitalisation",Research,Research,,Confirm Microsoft scope and target owner,2026-09-14,No reply,Not started,Not started,remediation_wave2,/resources/secure-cloud-remediation-checklist/,,https://financialfilings.com/filings/fluxys-belgium-sa/annual-report/2026/33986330/
REM-011,Resilient Security,MSSP / cyber consultancy,Tier 1 partner,Belgium,,Microsoft Security practice / Delivery leadership,Partner Remediation Delivery,"Microsoft Security practice across Defender Azure IAM and managed resilience",Ready to contact,LinkedIn,,Send partner-led implementation message,2026-09-09,No reply,Not started,Not started,remediation_wave1,/secure-cloud-remediation/,First activation wave,https://resilientsecurity.be/nl/partner/microsoft/
REM-012,Easi,MSSP / cyber consultancy,Tier 1 partner,Belgium,,Microsoft / Cybersecurity practice leadership,Partner Remediation Delivery,"Microsoft stack across Entra Defender Sentinel Azure M365 and security governance",Ready to contact,LinkedIn,,Send partner-led implementation message,2026-09-09,No reply,Not started,Not started,remediation_wave1,/secure-cloud-remediation/,First activation wave,https://easi.net/nl/services/microsoft
REM-013,NVISO,MSSP / cyber consultancy,Tier 1 partner,Belgium,,Cloud Security / Delivery leadership,Partner Remediation Delivery,"Microsoft Security Solutions Partner with Azure M365 hardening and IAM capability",Research,Research,,Identify delivery leader and current capacity trigger,2026-09-11,No reply,Not started,Not started,remediation_wave2,/secure-cloud-remediation/,,https://www.nviso.eu/service/cloud-security
REM-014,Cegeka,MSSP / cyber consultancy,Tier 2 partner,Belgium,,Microsoft Security / Cloud delivery leadership,Partner Remediation Delivery,"Large Microsoft security cloud and critical-infrastructure delivery ecosystem",Research,Research,,Find narrow specialist entry point and target delivery manager,2026-09-14,No reply,Not started,Not started,remediation_wave2,/partners/,Longer partner cycle; position as specialist capacity,https://www.cegeka.com/en/news/whitelane-2026
REM-015,Proximus NXT Cybersecurity,MSSP / cyber consultancy,Tier 2 partner,Belgium,,Professional Security Services / Microsoft assessment leadership,Partner Remediation Delivery,"Large Microsoft 365 Azure cybersecurity assessment staffing and managed security capability",Research,Research,,Identify capacity gap where evidence-led remediation complements existing services,2026-09-14,No reply,Not started,Not started,remediation_wave2,/partners/,Do not sell generic cybersecurity,https://www.proximus.be/en/id_cl_professionalsecurityservices/companies-and-public-sector/ict-for-large-companies/cybersecurity/professional-security-services.html
REM-016,Orbid,Microsoft integrator,Tier 1 partner,Belgium,,Microsoft Security / Modern Work practice leadership,Partner Remediation Delivery,"All six Microsoft Solutions Partner designations including Security Modern Work and Azure Infrastructure",Ready to contact,LinkedIn,,Send partner overflow message,2026-09-10,No reply,Not started,Not started,remediation_wave1,/secure-cloud-remediation/,First activation wave,https://www.orbid.be/nl/partners/microsoft
REM-017,sa.global,Microsoft integrator,Tier 1 partner,Belgium,,Microsoft Security / Modern Work / Azure delivery leadership,Partner Remediation Delivery,"All six Microsoft Solutions Partner designations confirmed in 2026",Research,Research,,Identify Belgium delivery leader and current capacity signal,2026-09-11,No reply,Not started,Not started,remediation_wave2,/partners/,,https://www.saglobal.com/en-gb/about-us/news/2026/saglobal-earns-all-six-microsoft-solutions-partner-designations.html
REM-018,Inetum Belgium,Microsoft integrator,Tier 1 partner,Belgium,,Microsoft Security / Modern Workplace / Azure delivery management,Partner Remediation Delivery,"Broad Microsoft Modern Workplace Azure and Security practice with multiple specialisations",Research,Research,,Identify delivery leader and narrow implementation overflow angle,2026-09-11,No reply,Not started,Not started,remediation_wave2,/partners/,,https://www.inetum.com/be/nl/about-us/partners-alliances/microsoft.html
REM-019,delaware Belgium,Microsoft integrator,Tier 2 partner,Belgium,,Microsoft Alliance / Security / Azure delivery leadership,Partner Remediation Delivery,"Deep Microsoft relationship Azure Expert MSP and high annual project volume",Research,Research,,Find partner contact and capacity-oriented trigger,2026-09-14,No reply,Not started,Not started,remediation_wave2,/partners/,Position as narrow senior-delivery add-on,https://www.delaware.pro/en-be/solutions/microsoft
REM-020,Orange Business Belgium,Microsoft integrator,Tier 2 partner,Belgium,,Microsoft practice / Security / Cloud delivery leadership,Partner Remediation Delivery,"Microsoft Cloud Modern Work Azure Infrastructure and broad accreditations",Research,Research,,Identify partner ecosystem contact and specialist delivery wedge,2026-09-14,No reply,Not started,Not started,remediation_wave2,/partners/,Likely longer qualification cycle,https://www.orange-business.com/be-en/about-us/partners/microsoft
